IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
LFT,Lafayette Regional Airport,Lafayette,LA,USA
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA
LGB,Long Beach AirportÂ (Daugherty Field),Long Beach,CA,USA
LIH,Lihue Airport,Lihue,HI,USA
LIT,Bill and Hillary Clinton National AirportÂ (Adams Field),Little Rock,AR,USA
LNK,Lincoln AirportÂ (Lincoln Municipal),Lincoln,NE,USA
LRD,Laredo International Airport,Laredo,TX,USA
LSE,La Crosse Regional Airport,La Crosse,WI,USA
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA
MAF,Midland International Airport,Midland,TX,USA
MBS,MBS International Airport,Saginaw,MI,USA
MCI,Kansas City International Airport,Kansas City,MO,USA
MCO,Orlando International Airport,Orlando,FL,USA
MDT,Harrisburg International Airport,Harrisburg,PA,USA
MDW,Chicago Midway International Airport,Chicago,IL,USA
MEI,Meridian Regional Airport,Meridian,MS,USA
MEM,Memphis International Airport,Memphis,TN,USA
MFE,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen,TX,USA
MFR,Rogue Valley International Airport,Medford,OR,USA
MGM,Montgomery Regional Airport,Montgomery,AL,USA
MHK,Manhattan Regional Airport,Manhattan,KS,USA
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA
MIA,Miami International Airport,Miami,FL,USA
MKE,General Mitchell International Airport,Milwaukee,WI,USA
MKG,Muskegon County Airport,Muskegon,MI,USA
MLB,Melbourne International Airport,Melbourne,FL,USA
MLI,Quad City International Airport,Moline,IL,USA
MLU,Monroe Regional Airport,Monroe,LA,USA
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA
MOB,Mobile Regional Airport,Mobile,AL,USA
MOT,Minot International Airport,Minot,ND,USA
MQT,Sawyer International Airport,Marquette,MI,USA
MRY,Monterey Regional AirportÂ (Monterey Peninsula Airport),Monterey,CA,USA
MSN,Dane County Regional Airport,Madison,WI,USA
MSO,Missoula International Airport,Missoula,MT,USA
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA
MTJ,Montrose Regional Airport,Montrose,CO,USA
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA
OAK,Oakland International Airport,Oakland,CA,USA
OGG,Kahului Airport,Kahului,HI,USA
OKC,Will Rogers World Airport,Oklahoma City,OK,USA
OMA,Eppley Airfield,Omaha,NE,USA
OME,Nome Airport,Nome,AK,USA
ONT,Ontario International Airport,Ontario,CA,USA
ORD,Chicago O'Hare International Airport,Chicago,IL,USA
ORF,Norfolk International Airport,Norfolk,VA,USA
ORH,Worcester Regional Airport,Worcester,MA,USA
OTH,Southwest Oregon Regional AirportÂ (North Bend Municipal),North Bend,OR,USA
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA
PAH,Barkley Regional Airport,Paducah,KY,USA
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA
PBI,Palm Beach International Airport,West Palm Beach,FL,USA
PDX,Portland International Airport,Portland,OR,USA
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA
PHL,Philadelphia International Airport,Philadelphia,PA,USA
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA
PIH,Pocatello Regional Airport,Pocatello,ID,USA
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA
PNS,Pensacola International AirportÂ (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA
PSC,Tri-Cities Airport,Pasco,WA,USA
PSE,Mercedita Airport,Ponce,PR,USA
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA
PSP,Palm Springs International Airport,Palm Springs,CA,USA
PUB,Pueblo Memorial Airport,Pueblo,CO,USA
PVD,Theodore Francis Green State Airport,Providence,RI,USA
PWM,Portland International Jetport,Portland,ME,USA
RAP,Rapid City Regional Airport,Rapid City,SD,USA
RDD,Redding Municipal Airport,Redding,CA,USA
